id,Accuracy,tweet
48158,1,Hello @UnitedAirlines I miss my @AlaskaAir ! #@JacksonHoleNews here comes #pahlmeyer wines http://t.co/jlXbu5sNyc
49022,1,Phew!  Was able to change my @VirginAmerica ORD-&gt;SFO flight to today to miss the epic storm tomorrow.
49458,0,"Overheard @united gate ""There better be a TV on this next flight. They keep booking me cheapie flights with no TV. That jet was so small."""
54430,0,C'mon @united 968. Aircraft was at gate for 4 hours and now you found faulty entertainment system?
54478,1,"Ack! So smart. RT @JetBlue: Headed for the beach? For just $2 a day, leave your winter coat behind w Coat Chex at JFK Terminal 5. #TravelTip"
54528,1,"Genius! RT @JetBlue: Headed for the beach? For just $2 a day, leave your winter coat behind with Coat Chex at JFK Terminal 5. #TravelTip"
54599,1,"when @AmericanAir fails, john candy with a polka band van will get you home for the holidays #homealone"
54683,1,"@kaitlynmmurphy RT @JetBlue: Headed for the beach? For just $2 a day, leave your winter coat behind with Coat Chex at JFK Terminal 5."
57814,1,Thank you to the LAX @AlaskaAir check-in staff this AM. You saw a very stressed Mom and were so helpful! Happy Holidays to you all!!
59040,0,Woman sues @united after spending 3 years in jail for switching seats http://t.co/MKtNtogWq9
59240,1,Switching from @united Mileage Plus to @AlaskaAir Mileage Plan paying off already! 1st AS flight: 1st class upgrade! http://t.co/vKT4tDMHnA
60195,1,I miss flying on @JetBlue hopefully soon.
60859,0,Le sigh. RT @tyfrancis: In #customerfail news @united leaves dog on runway and responds to a tweet with this. Sigh. http://t.co/ZB7734noyt
61643,1,I am going to miss being a 75K! @AlaskaAir you have been so good to me this year xoxo
63360,1,Dog Left on Rainy Tarmac by United Airlines (PHOTO) @United  #ShameOnYou  http://t.co/0IZBgPsn0x @Christie_Vargas
63784,1,@rm1evo @lybr3 @united @Orbitz Don't forget 2 #Boycott~~&gt; @Delta 4making a public announce of ther SUPPORT 4 O's ILLEGAL AMNESTY Exec. Order
64570,0,"Everyone fly @SouthwestAir, they don't have employees that threaten to remove you from the airport for being angry like @USAirways."
64671,1,My grandmas flying back out to Arizona today. Gonna miss her @SouthwestAir you make sure she arrives comfortably
64825,1,"I requested that @AmericanAir have their planes smell like psl   Sincerely, white girls everywhere @Jenna_Marbles"
65028,1,The Tarmac is full of stars and stripes @united @Dulles_Airport http://t.co/M06WJYgHE5
65316,0,@united flight 1016 to Houston....what is going on? I'm going to miss my connection to Nicaragua ___
66081,0,Canceled flight after full day travelling @united won't put us in a hotel! #angry #rudeagents
66227,1,@crohland @AmericanAir Ugh! Hope you guys get home safely _
67511,0,@AmericanAir come on!  FLT 1455 Ridiculously tiny legroom.  A lot of angry customers here on this flight  #ripoff http://t.co/8uOMf1QSmx
68709,1,Costa Rica bound. Two separate  @AmericanAir mechanical failures in a row in Chicago. C'est la vie! http://t.co/4HWwa2MKZw
68756,1,@United hope I don't miss my connection to UA6441 because we've been sitting on the tarmac for an hour at JFK on UA510
70962,1,Happening now at @JetBlue #JFK: the one-and-only @DavidJBarger kicks off his final Pocket Session at #T5. http://t.co/a4poAgeaSh
72077,1,@BillyMal @kmallios1 MT @VirginAmerica: Wicked Fun. Enter chance at BOS-LAS flights on us + nights @Cosmopolitan_LV. http://t.co/prDXDs1wc0
72656,0,"@AmericanAir was switching AA from UA CS said would mtch 1K to ExecPlat Did pw offered gld no reason why I dnt qual, fly 140K+ a year  w/UAL"
73460,1,@AustinPaigeLRN @SouthwestAir HURRY!! I miss u
74021,1,Man do I miss when @united was a strong carrier. WSJ confirms that is no longer the case http://t.co/6mKaHibs1W. 8th out of 8.
74041,1,@slcairport: We #LUV this shot of @SouthwestAir 737 striking a pose in front of #SLC's Wasatch Mountains! http://t.co/Bmizm15wLT MISS HOME
74302,1,"Gonna miss @justplaneray #raytiring @JetBlue, Congratulations my friend!"
77164,0,@united When you remove Newsmax as the default remove United and just leave TIED 2 bozo as your name!
77199,1,@AmericanAir next time I'm booking @VirginAmerica . No one makes me miss @EarlSkakel opening a night at @TheComedyStore
77241,1,@united @billburton NEWMAX TV worth watching! Thousands of your regular biz fliers disagree with Mr.BillBurton! LEAVE IT on!  It's balanced!
79633,0,@USAirways @AmericanAir Your silence is deafening. #ripoff
81389,1,@JetBlue I need help switching my seat for a flight for tomorrow without being charged. Please contact me directly
81399,1,"Another day, another devaluation of @united  Mileage Plus. Glad I switched to @AmericanAir"
82135,0,@DannieAshley @JetBlue badass community management
83718,1,I wonder if @AmericanAir flagged my name when I booked using my angry customer vegas voucher and thats why i didn't get charged for my wine
84460,0,@dpanabaker @united Sadly I've done longer.
84780,1,"@AmericanAir here we sit on tarmac, hope I don't miss ANOTHER connection!!"
84817,1,@sorryimalex @AmericanAir DONT LEAVE LONG ISLAND ILY
84848,1,Love @AlaskaAir CSAs. Got a great assist in switching flights at the gate and exchanged weather stories. Shout out to SNA! #iflyalaska
88518,0,"They're doing ""maintenance"" on our plane. If we leave when they say, we will have been sitting ON the plane for over two hours. @united"
89540,1,An @AmericanAir plane makes an emergency landing after its nose gear fails to deploy. @ABC http://t.co/JapY35Bg1d
90814,1,@VirginAmerica Come fly out of Toronto again! We miss you.
99732,1,I really like @AlaskaAir and I really miss them right now!
100876,0,@USAirways I'm going to miss you.  Everything about @AmericanAir is impersonal and monolithic.
103763,1,@AmericanAir Give yourselves a break. You are doing the best you can with this messy weather.
106541,1,RIP @AmericanAir Executive Platinum status. I'll miss you as I'm losing feeling in my knees and paying $7 for a mimosa in coach.
111058,1,@michaelhoffman @JetBlue ugh. That is really surprising.
111770,1,@AmericanAir what's story with flight 2358 from MCO to Dallas? No longer on board in airport. Can you help?
112196,0,"@AmericanAir been on the Tarmac for over an hour, captain keeps on failing to show up. Flight 1464"
112225,0,@united I won't see my military husband for another two months told him to use his 4 leave days for a new flight #NoRespestformilitary
114277,1,"@AmericanAir: Unfortunately this search tool is no longer available. If you would like to view our current deals and offers, please visit..."
114542,1,@JetBlue free online fear of flying treatment course is available now. Your passengers can overcome their flying phobia free of charge.
116847,1,"@SouthwestAir I have a flight departing tom night and arriving after midnight Friday, if I didn't want to pay, any options to stay longer?"
117063,1,"@AmericanAir if my flight with you has a 10hr layover in london, can i leave the airport during that time to see london?"
117119,1,@AmericanAir #worstcustomerservice I had a flight reserved and got a notification to call AA and they told me that my flight was changed and
118932,0,Flying @united and @AmericanAir today makes me miss @Delta
121045,1,Hey @united my emails aren't going through to your website. Getting rejection postmaster fails. How can I tell you about my experience?
121139,1,"No bags. Two trips in a row on @AmericanAir. Almost like @USAirways running it now. Oh, they are? Both times Eagle. A brand is a brand."
122648,1,@SouthwestAir I was wondering if I could get my ticket switched to another flight.
125924,1,@AmericanAir Finally announced the new rewards program which screws over US Airways flyers. #BOOO #timetomovetounited #americanmerger
126652,0,@AmericanAir already boarded 2 planes just to told both times that the planes are out of service. aa2295
127319,1,New account is @AmericanAir !!! #terribleservice #shamefulbehaviour #customersboycott #dotherightthing #grief #cancer
127569,1,@SouthwestAir I am on flight 1983 from Columbus to STL. Will my connecting flight to KC 857 leave me?
130383,1,@AmericanAir why does the limit have to be 15 years? I would be able to fly with you if I were 3 weeks older. gotta fly next year now. ugh.
131686,1,@mattnevans @united just another reason I'm moved most of my travel to @american!  I don't miss my 1k status
131848,1,"Hey @united, I might miss my flight (4536) because @NJTRANSIT cannot reliably deliver customers to their destinations on time EVER."
132938,0,@JetBlue you guys should have inform us ahead of time regarding the construction work in #jfkairport now I'm going to miss my flight.
134686,1,#FarewellCactus we will all miss your call sign. @AmericanAir #USAirways #AmericaWest #Cactus http://t.co/iScCPpT9yX
135308,1,When you leave your @redbox case on a @SouthwestAir flight...help!
136152,1,.@united what's the deal with flight 369 out of Houston? Is it actually going to leave tonight?
137776,0,@AmericanAir ......messy
140263,1,Hmm wonder if I am gonna miss my connection to Austin at this rate @united
140881,0,.@AmericanAir / @USAirways making me miss my shuttle again this month. Does this flight ever arrive on time?
143141,1,"Boarding now @SouthwestAir. I'm going back to Cali,  Cali,  Cali. I miss LA! Chicago to LA! "
143215,0,@RichardsWesley It seems like @AmericanAir and automated responses are the status quo. Got that all yesterday. Tons of stress they caused!
143820,1,@OGkevingill @SouthwestAir no lie kg if I were her I would keep calling and demand to talk to a supervisor every time also
144525,0,This is a shocker @cnnbrk which airline has the lowest customer satisfaction?The gold should go to @AmericanAir #poorcustomerservice
145243,1,This plane smells like sweaty man @united - gross
148804,1,#work #travel #technicaldifficulties  Sitting on the tarmac @southwestair #BWI  _ https://t.co/ijvJ6kKtTI
150658,1,#fingerscrossed for my #brandnew luggage as I get on another @USAirways flight. Made me really miss @SouthwestAir #prayerrequest #lucknow
151396,1,"@SouthwestAir Agent Alice, gateC3/5pm/ PHX stressed handicap passenger so much that she collapsed to the floor ""Learn how use a voucher"" SMH"
152560,0,@AmericanAir been sitting on DFW tarmac for 40 min. Got 14 min to catch flt #3068. 6 peeps on board need to catch that flt.
153630,1,@Travel_Codex @TravelSummary @united same. Wasn't worth the stress.
153648,1,".@VirginAmerica plane about to leave PDX for SFO, weekend trip to see two @SFGiants games, watching the Giants channel-- BEST. #FlyByeBaby"
153664,1,'Fear of autism' forces Tigard family off @united plane http://t.co/rcnXrUiQL3 #ableism #unitedairlines #autism
155696,0,@AmericanAir I've been trying to get in touch with one of your agents for 2 days now. Why won't you answer the phone? #poorcustomerservice
158456,1,"@SouthwestAir we're a softball team of 24 flying out of Sacramento, our bus driver is late.Probably going to miss our flight, can you help?!"
159347,1,@united we need a glass guy at DCA to get 619 to Chicago!   I don't want to miss my daughters's soccer game http://t.co/EW6YaIVC6H
166540,1,@JetBlue I need an update on flight 1243 RIGHT NOW! our flight was to leave at 5:35 from gate 26. We have been here 2 hours and no update!
168023,1,"Ugh. Mistakenly put my name on my husband's reservation. Can you help, @SouthwestAir ?"
168301,1,@united airlines is the way to go if you want to miss an entire day of your vacation. Paid extra to have the earliest flight possible
,,
,,
,,
Accurancy,0.706293706,
